제목,장르,줄거리있음
인터스텔라,"모험, 드라마, SF",X
인셉션,"액션, SF, 모험",O
어벤져스,"SF, 액션, 모험",X
다크 나이트,"액션, 범죄, 스릴러",O
아바타,"SF, 액션, 모험",X
데드풀,"액션, 모험, 코미디",X
파이트 클럽,"드라마, 스릴러",O
어벤져스: 인피니티 워,"모험, 액션, SF",O
쇼생크 탈출,"드라마, 범죄",O
펄프 픽션,"스릴러, 범죄, 코미디",O
포레스트 검프,"코미디, 드라마, 로맨스",O
가디언즈 오브 갤럭시,"액션, SF, 모험",X
해리 포터와 마법사의 돌,"모험, 판타지",O
아이언맨,"액션, SF, 모험",X
장고: 분노의 추적자,"드라마, 서부",O
매트릭스,"액션, SF",O
어벤져스: 엔드게임,"모험, SF, 액션",O
조커,"범죄, 스릴러, 드라마",X
반지의 제왕: 반지 원정대,"모험, 판타지, 액션",O
타이타닉,"드라마, 로맨스",X
반지의 제왕: 왕의 귀환,"모험, 판타지, 액션",X
더 울프 오브 월 스트리트,"범죄, 드라마, 코미디",X
셔터 아일랜드,"드라마, 스릴러, 미스터리",O
어벤져스: 에이지 오브 울트론,"액션, 모험, SF",O
다크 나이트 라이즈,"액션, 범죄, 드라마, 스릴러",O
바스터즈: 거친 녀석들,"드라마, 스릴러, 전쟁",O
매드맥스: 분노의 도로,"액션, 모험, SF",O
캡틴 아메리카: 시빌 워,"모험, 액션, SF",O
반지의 제왕: 두 개의 탑,"모험, 판타지, 액션",O
해리 포터와 비밀의 방,"모험, 판타지",O
블랙 팬서,"액션, 모험, SF",X
인사이드 아웃,"애니메이션, 가족, 모험, 드라마, 코미디",O
닥터 스트레인지,"판타지, 모험, 액션",X
아이언맨 3,"액션, 모험, SF",X
헝거게임: 판엠의 불꽃,"SF, 모험, 액션, 스릴러",X
스파이더맨: 홈커밍,"액션, 모험, SF",O
해리 포터와 아즈카반의 죄수,"모험, 판타지",O
세븐,"범죄, 미스터리, 스릴러",O
대부,"드라마, 범죄",O
가디언즈 오브 갤럭시 Vol. 2,"SF, 모험, 액션",O
퍼스트 어벤져,"액션, 모험, SF",O
배트맨 비긴즈,"드라마, 범죄, 액션",O
아이언맨 2,"모험, 액션, SF",O
스타워즈 에피소드 4: 새로운 희망,"모험, 액션, SF",X
토르: 천둥의 신,"모험, 판타지, 액션",X
캐리비안의 해적: 블랙펄의 저주,"모험, 판타지, 액션",X
해리 포터와 불의 잔,"모험, 판타지",O
수어사이드 스쿼드,"액션, 모험, 판타지",X
스파이더맨: 노 웨이 홈,"액션, 모험, SF",O
토르: 라그나로크,"액션, SF, 코미디",O
해리 포터와 죽음의 성물 2,"모험, 판타지",O
빽 투 더 퓨쳐,"모험, 코미디, SF",O
업,"애니메이션, 코미디, 가족, 모험",X
쥬라기 월드,"모험, SF, 스릴러",O
마션,"SF, 드라마, 모험",X
코코,"가족, 애니메이션, 음악, 모험",X
글래디에이터,"액션, 드라마, 모험",X
원더 우먼,"액션, 모험, 판타지",X
존 윅,"액션, 스릴러",X
앤트맨,"SF, 모험, 액션",X
해리 포터와 불사조 기사단,"모험, 판타지",O
해리 포터와 혼혈왕자,"모험, 판타지",O
기생충,"코미디, 스릴러, 드라마",X
스파이더맨,"액션, SF",X
니모를 찾아서,"애니메이션, 가족, 모험",O
스타워즈 에피소드 7: 깨어난 포스,"모험, 액션, SF",O
로건,"액션, 드라마, SF",X
해리 포터와 죽음의 성물 1,"모험, 판타지",O
월•E,"애니메이션, 가족, SF",O
그것,"공포, 스릴러, 드라마",X
트루먼 쇼,"코미디, 드라마",X
토이 스토리,"가족, 코미디, 애니메이션, 모험",O
캡틴 아메리카: 윈터 솔져,"액션, 모험, SF",O
나를 찾아줘,"미스터리, 스릴러, 드라마",X
몬스터 주식회사,"애니메이션, 코미디, 가족, 판타지",O
라이온 킹,"애니메이션, 가족, 드라마",O
신비한 동물사전,"판타지, 모험",X
호빗: 뜻밖의 여정,"모험, 판타지, 액션",O
컨택트,"드라마, SF, 미스터리",X
레버넌트: 죽음에서 돌아온 자,"서부, 드라마, 모험",X
그린 마일,"판타지, 드라마, 범죄",X
데드풀 2,"액션, 코미디, 모험",X
배트맨 대 슈퍼맨: 저스티스의 시작,"액션, 모험, 판타지",X
킬 빌: 1부,"액션, 범죄",O
샤이닝,"공포, 스릴러",X
인크레더블,"액션, 모험, 애니메이션, 가족",O
겟 아웃,"미스터리, 스릴러, 공포",O
슈렉,"애니메이션, 코미디, 판타지, 모험, 가족",O
어메이징 스파이더맨,"액션, 모험, SF",X
라따뚜이,"애니메이션, 코미디, 가족, 판타지",X
언터처블: 1%의 우정,"드라마, 코미디",O
