제목,연도,장르,평점,출연,줄거리있음
인터스텔라,2014,"모험, 드라마, SF",8.48,"매튜 매커너히, 앤 해서웨이, 마이클 케인, 제시카 차스테인, 케이시 애플렉",X
인셉션,2010,"액션, SF, 모험",8.372,"레오나르도 디카프리오, 조셉 고든레빗, 와타나베 켄, 톰 하디, 엘리엇 페이지",O
어벤져스,2012,"SF, 액션, 모험",8.053,"로버트 다우니 주니어, 크리스 에반스, 마크 러팔로, 크리스 헴스워스, 스칼렛 요한슨",X
다크 나이트,2008,"액션, 범죄, 스릴러",8.532,"크리스찬 베일, 히스 레저, 에런 엑하트, 마이클 케인, 메기 질렌할",O
아바타,2009,"SF, 액션, 모험",7.608,"샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 미셸 로드리게즈",X
데드풀,2016,"액션, 모험, 코미디",7.625,"라이언 레이놀즈, 모레나 바카린, 에드 스크레인, T.J. 밀러, 지나 카라노",X
파이트 클럽,1999,"드라마, 스릴러",8.4,"에드워드 노튼, 브래드 피트, 헬레나 본햄 카터, Meat Loaf, 자레드 레토",O
어벤져스: 인피니티 워,2018,"모험, 액션, SF",8.238,"로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 조쉬 브롤린, 마크 러팔로",O
쇼생크 탈출,1994,"드라마, 범죄",8.724,"팀 로빈스, 모건 프리먼, 밥 건턴, 윌리엄 새들러, 클랜시 브라운",O
펄프 픽션,1994,"스릴러, 범죄, 코미디",8.482,"존 트라볼타, 사무엘 L. 잭슨, 우마 서먼, 브루스 윌리스, 빙 레임스",O
포레스트 검프,1994,"코미디, 드라마, 로맨스",8.5,"톰 행크스, 로빈 라이트, 게리 시나이즈, 샐리 필드, 미켈티 윌리엄슨",O
가디언즈 오브 갤럭시,2014,"액션, SF, 모험",7.906,"크리스 프랫, 조 샐다나, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼",X
해리 포터와 마법사의 돌,2001,"모험, 판타지",7.9,"다니엘 래드클리프, 루퍼트 그린트, 엠마 왓슨, 리처드 해리스, 톰 펠튼",O
아이언맨,2008,"액션, SF, 모험",7.662,"로버트 다우니 주니어, 테렌스 하워드, 제프 브리지스, 기네스 팰트로, 레슬리 비브",X
장고: 분노의 추적자,2012,"드라마, 서부",8.2,"제이미 폭스, 크리스토프 발츠, 레오나르도 디카프리오, 케리 워싱턴, 사무엘 L. 잭슨",O
매트릭스,1999,"액션, SF",8.25,"키아누 리브스, 로렌스 피시번, 캐리 앤 모스, 휴고 위빙, Gloria Foster",O
어벤져스: 엔드게임,2019,"모험, SF, 액션",8.238,"로버트 다우니 주니어, 크리스 에반스, 마크 러팔로, 크리스 헴스워스, 스칼렛 요한슨",O
조커,2019,"범죄, 스릴러, 드라마",8.123,"호아킨 피닉스, 로버트 드 니로, 재지 비츠, 프랜시스 콘로이, 브래트 컬렌",X
